GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimarket,com.minimarket,MinimarketApplication,5,3,0,0,2,1,1,1,1,1
minimarket,com.minimarket.controller,CarritoController,109,6,20,0,25,3,16,1,6,1
minimarket,com.minimarket.controller,DetalleVentaController,109,6,20,0,25,3,16,1,6,1
minimarket,com.minimarket.controller,UsuarioController,0,123,2,14,0,30,2,15,0,9
minimarket,com.minimarket.controller,ProductoController,113,6,18,0,26,3,16,1,7,1
minimarket,com.minimarket.controller,AuthController,64,16,2,0,17,6,3,1,2,1
minimarket,com.minimarket.controller,VentaController,2,30,1,1,0,7,1,4,0,4
minimarket,com.minimarket.controller,CategoriaController,113,6,18,0,26,3,16,1,7,1
minimarket,com.minimarket.controller,InventarioController,109,6,20,0,25,3,16,1,6,1
minimarket,com.minimarket.entity,Producto,7,31,0,0,3,13,2,9,2,9
minimarket,com.minimarket.entity,Venta,2,43,1,1,0,17,1,11,0,11
minimarket,com.minimarket.entity,Usuario,0,31,0,0,0,13,0,9,0,9
minimarket,com.minimarket.entity,ActividadSeguridad,43,3,2,0,16,2,9,1,8,1
minimarket,com.minimarket.entity,Categoria,14,10,0,0,6,4,4,3,4,3
minimarket,com.minimarket.entity,Inventario,0,38,0,0,0,16,0,11,0,11
minimarket,com.minimarket.entity,Rol,11,19,0,0,5,9,3,5,3,5
minimarket,com.minimarket.entity,DetalleVenta,3,35,0,0,1,15,1,10,1,10
minimarket,com.minimarket.entity,Carrito,0,31,0,0,0,13,0,9,0,9
minimarket,com.minimarket.config,DataInitializer,64,119,2,2,14,28,4,6,2,6
minimarket,com.minimarket.exception,GlobalExceptionHandler,249,3,4,0,48,1,13,1,11,1
minimarket,com.minimarket.security.service,CustomUserDetailsService,31,6,4,0,6,3,4,1,2,1
minimarket,com.minimarket.service.impl,ActividadSeguridadServiceImpl,62,6,6,0,15,3,5,1,2,1
minimarket,com.minimarket.service.impl,VentaServiceImpl,25,221,12,20,5,44,12,12,0,8
minimarket,com.minimarket.service.impl,CarritoServiceImpl,0,136,0,6,0,31,0,12,0,9
minimarket,com.minimarket.service.impl,AuthServiceImpl,5,59,0,2,0,15,1,3,1,2
minimarket,com.minimarket.service.impl,UsuarioServiceImpl,0,168,15,29,0,42,15,16,0,9
minimarket,com.minimarket.service.impl,DetalleVentaServiceImpl,8,46,0,0,1,10,1,6,1,6
minimarket,com.minimarket.service.impl,CategoriaServiceImpl,0,38,0,0,0,9,0,5,0,5
minimarket,com.minimarket.service.impl,ProductoServiceImpl,8,91,1,7,1,20,2,11,1,8
minimarket,com.minimarket.service.impl,RolServiceImpl,0,19,0,4,0,6,0,4,0,2
minimarket,com.minimarket.service.impl,InventarioServiceImpl,20,190,8,22,3,36,9,14,1,7
minimarket,com.minimarket.security.util,JwtUtil,162,3,28,0,39,1,22,1,8,1
minimarket,com.minimarket.security.model,LoginResponse,16,0,0,0,8,0,4,0,4,0
minimarket,com.minimarket.security.model,LoginRequest,26,0,0,0,12,0,6,0,6,0
minimarket,com.minimarket.security.model,CustomUserDetails,47,0,2,0,16,0,10,0,9,0
minimarket,com.minimarket.security.config,SecurityConfig,0,280,0,0,0,42,0,11,0,11
minimarket,com.minimarket.security.filter,RateLimitingFilter,94,8,12,0,20,2,10,1,4,1
minimarket,com.minimarket.security.filter,RateLimitingFilter.RequestCounter,9,0,0,0,1,0,1,0,1,0
minimarket,com.minimarket.security.filter,JwtAuthenticationFilter,128,12,24,0,37,5,14,1,2,1
